epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.673,3.46878,4.42724,4.07304,0.00316,0.2153,0.00241,0.00066,3.32774,157.015,6.26889,0.000553513,0.000553513,0.000553513
2,45.8913,3.00467,3.65011,3.4413,0.11615,0.06887,0.03452,0.01403,2.66902,3.36508,3.39233,0.0010982,0.0010982,0.0010982
3,67.7801,2.64138,3.26923,3.0438,0.65027,0.13119,0.15741,0.05244,2.39082,2.92925,2.8882,0.00163188,0.00163188,0.00163188
4,90.0487,2.44396,2.96246,2.81572,0.21461,0.19582,0.14103,0.06042,2.29122,5.827,2.7702,0.00161749,0.00161749,0.00161749
5,112.179,2.27011,2.84365,2.62959,0.29829,0.15331,0.13171,0.05855,2.05786,3.49943,2.51687,0.00160099,0.00160099,0.00160099
6,133.96,2.19,2.72272,2.48726,0.35266,0.31033,0.28437,0.13407,1.91532,2.32706,2.3352,0.00158448,0.00158448,0.00158448
7,155.85,2.13976,2.52171,2.41233,0.43206,0.43399,0.36918,0.18744,1.72515,2.02071,2.16879,0.00156798,0.00156798,0.00156798
8,177.775,1.99399,2.38597,2.32151,0.47881,0.3949,0.41336,0.19969,1.77299,1.97722,2.22926,0.00155148,0.00155148,0.00155148
9,199.703,1.96427,2.25466,2.28539,0.58123,0.50334,0.47887,0.26349,1.64672,2.34693,2.08109,0.00153497,0.00153497,0.00153497
10,221.732,1.87124,2.19819,2.19356,0.57953,0.39789,0.47813,0.27584,1.5747,2.28708,1.99681,0.00151847,0.00151847,0.00151847
11,243.813,1.79177,2.05038,2.11505,0.62051,0.56111,0.58323,0.33965,1.51318,1.5797,1.96179,0.00150197,0.00150197,0.00150197
12,265.74,1.74213,1.95989,2.07606,0.72025,0.5713,0.65812,0.39824,1.50725,1.62416,1.92615,0.00148546,0.00148546,0.00148546
13,287.666,1.66892,1.83151,2.02132,0.67581,0.59752,0.66685,0.41459,1.4266,1.45375,1.8614,0.00146896,0.00146896,0.00146896
14,309.622,1.66598,1.84156,1.97403,0.68687,0.6167,0.68613,0.41607,1.40568,1.54606,1.83288,0.00145246,0.00145246,0.00145246
15,331.549,1.55508,1.72075,1.92789,0.73919,0.60753,0.70077,0.4475,1.32331,1.41408,1.77881,0.00143595,0.00143595,0.00143595
16,353.493,1.49469,1.65174,1.89831,0.76903,0.6275,0.73457,0.48776,1.22881,1.29039,1.71105,0.00141945,0.00141945,0.00141945
17,375.465,1.47,1.56262,1.84654,0.73953,0.6863,0.73165,0.49548,1.20147,1.22807,1.68567,0.00140295,0.00140295,0.00140295
18,397.27,1.41774,1.54388,1.82357,0.80418,0.68892,0.76184,0.5249,1.21581,1.15208,1.68031,0.00138644,0.00138644,0.00138644
19,419.195,1.40438,1.50283,1.78009,0.85658,0.68778,0.7708,0.53676,1.14782,1.15611,1.60784,0.00136994,0.00136994,0.00136994
20,441.237,1.36683,1.48615,1.76607,0.72631,0.69056,0.75991,0.53984,1.10388,1.18009,1.5913,0.00135344,0.00135344,0.00135344
21,463.111,1.33727,1.41544,1.73882,0.82106,0.72326,0.77273,0.52915,1.18815,1.10649,1.59677,0.00133693,0.00133693,0.00133693
22,484.971,1.32843,1.37567,1.71677,0.85781,0.70288,0.78472,0.56423,1.1003,0.9887,1.54444,0.00132043,0.00132043,0.00132043
23,507.142,1.25806,1.32885,1.64451,0.82728,0.74418,0.7948,0.56802,1.08459,1.01859,1.53216,0.00130393,0.00130393,0.00130393
