epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.277,0.6369,0.50834,1.0993,0.89105,0.80299,0.86744,0.70839,0.74116,0.57221,1.2013,0.000553513,0.000553513,0.000553513
2,46.5111,0.66939,0.56216,1.11832,0.87574,0.79082,0.84746,0.67862,0.77123,0.64057,1.22359,0.0010982,0.0010982,0.0010982
3,68.7132,0.71002,0.6087,1.14757,0.88884,0.7764,0.84256,0.66963,0.79081,0.65648,1.24154,0.00163188,0.00163188,0.00163188
4,91.1152,0.75948,0.66323,1.20627,0.8523,0.80373,0.85897,0.68069,0.82047,0.66293,1.26121,0.00161749,0.00161749,0.00161749
5,113.697,0.77674,0.67949,1.20319,0.89226,0.75369,0.85029,0.67438,0.78986,0.6166,1.23243,0.00160099,0.00160099,0.00160099
6,135.992,0.78004,0.70909,1.19753,0.86075,0.83055,0.84655,0.68595,0.77648,0.66097,1.23164,0.00158448,0.00158448,0.00158448
7,158.038,0.77112,0.69874,1.18881,0.87874,0.78723,0.83315,0.66092,0.81481,0.71183,1.23976,0.00156798,0.00156798,0.00156798
8,180.411,0.75478,0.66036,1.187,0.82861,0.82929,0.84753,0.66919,0.80478,0.65242,1.25127,0.00155148,0.00155148,0.00155148
9,202.673,0.75081,0.65533,1.17967,0.86733,0.81276,0.84651,0.66967,0.79539,0.64007,1.22489,0.00153497,0.00153497,0.00153497
10,224.669,0.73748,0.63035,1.18172,0.90031,0.82637,0.84969,0.67055,0.82809,0.6356,1.27009,0.00151847,0.00151847,0.00151847
11,246.772,0.75557,0.63976,1.17684,0.87928,0.82618,0.85137,0.67934,0.80046,0.61584,1.25489,0.00150197,0.00150197,0.00150197
12,269.191,0.77187,0.67206,1.2051,0.87727,0.80387,0.85764,0.69877,0.77753,0.60611,1.21666,0.00148546,0.00148546,0.00148546
13,291.325,0.73546,0.62779,1.17168,0.88824,0.8006,0.85561,0.69692,0.75274,0.62611,1.19439,0.00146896,0.00146896,0.00146896
14,313.462,0.7507,0.6576,1.16274,0.89489,0.80673,0.85523,0.68398,0.77414,0.62184,1.23936,0.00145246,0.00145246,0.00145246
15,335.858,0.72606,0.63804,1.171,0.88744,0.77766,0.85567,0.67609,0.77864,0.64611,1.20026,0.00143595,0.00143595,0.00143595
16,357.96,0.73863,0.64412,1.17336,0.84823,0.82971,0.86637,0.70033,0.77174,0.59099,1.22855,0.00141945,0.00141945,0.00141945
17,380.137,0.73459,0.61614,1.17051,0.84863,0.80592,0.84402,0.68517,0.77047,0.59822,1.23351,0.00140295,0.00140295,0.00140295
18,402.49,0.72941,0.5958,1.18235,0.86689,0.86114,0.87531,0.69629,0.76894,0.60515,1.24038,0.00138644,0.00138644,0.00138644
19,424.577,0.72243,0.62249,1.15827,0.89809,0.83165,0.88639,0.7044,0.75653,0.58861,1.19588,0.00136994,0.00136994,0.00136994
20,446.75,0.70396,0.63119,1.1553,0.88314,0.8271,0.8803,0.7091,0.76536,0.58791,1.19765,0.00135344,0.00135344,0.00135344
21,469.312,0.69814,0.61288,1.14626,0.8646,0.8325,0.86689,0.69449,0.75071,0.62023,1.19939,0.00133693,0.00133693,0.00133693
22,491.438,0.71385,0.60175,1.15083,0.90765,0.81294,0.8661,0.69817,0.75348,0.59955,1.20666,0.00132043,0.00132043,0.00132043
23,513.613,0.69908,0.5873,1.14477,0.8696,0.82301,0.86711,0.6943,0.76546,0.59778,1.2191,0.00130393,0.00130393,0.00130393
24,536.018,0.70849,0.60695,1.15775,0.9001,0.81847,0.87081,0.70031,0.76762,0.57265,1.20214,0.00128742,0.00128742,0.00128742
