epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,448.745,0.97081,2.31771,1.1607,0.9278,0.18543,0.49094,0.35819,0.8868,3.02243,1.05771,0.000547118,0.000547118,0.000547118
2,899.265,0.92463,1.55215,1.11092,0.82618,0.67784,0.75439,0.57685,0.84252,1.78058,1.04956,0.000738866,0.000738866,0.000738866
3,1342.78,0.88037,1.37113,1.09874,0.88405,0.81501,0.87884,0.68242,0.76054,1.28891,1.00457,0.000563873,0.000563873,0.000563873
