epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8448,0.39712,0.29685,0.93726,0.9262,0.84815,0.89954,0.75753,0.69003,0.47832,1.17045,0.000551359,0.000551359,0.000551359
2,36.7362,0.43142,0.31978,0.96728,0.88702,0.87549,0.89627,0.74498,0.69534,0.48956,1.17476,0.00109607,0.00109607,0.00109607
3,54.502,0.45538,0.34952,0.97544,0.91734,0.84031,0.87834,0.73707,0.71067,0.50072,1.17325,0.00162977,0.00162977,0.00162977
4,72.3035,0.46786,0.35754,0.99294,0.90873,0.86739,0.88271,0.73406,0.70412,0.50535,1.19175,0.00161749,0.00161749,0.00161749
5,90.0002,0.47204,0.35722,0.97826,0.89087,0.86934,0.88384,0.73782,0.70494,0.51322,1.1617,0.00160099,0.00160099,0.00160099
6,107.788,0.46867,0.36404,0.9799,0.86095,0.88629,0.89367,0.73874,0.69886,0.49397,1.17552,0.00158448,0.00158448,0.00158448
7,125.673,0.46561,0.35406,0.98253,0.90732,0.8238,0.86915,0.71861,0.70147,0.51938,1.16719,0.00156798,0.00156798,0.00156798
8,143.561,0.47523,0.36473,0.98965,0.92765,0.85684,0.89797,0.74464,0.69278,0.49097,1.17892,0.00155148,0.00155148,0.00155148
9,161.438,0.49243,0.36819,0.97772,0.8871,0.86701,0.89294,0.73551,0.72295,0.51274,1.178,0.00153497,0.00153497,0.00153497
10,179.225,0.48156,0.36251,0.97229,0.92511,0.83551,0.87115,0.72297,0.72172,0.5167,1.20964,0.00151847,0.00151847,0.00151847
11,197.183,0.47823,0.35946,0.98039,0.92319,0.85028,0.88931,0.73937,0.71175,0.48764,1.17025,0.00150197,0.00150197,0.00150197
12,215.026,0.48907,0.36752,0.98926,0.86478,0.8502,0.88046,0.73519,0.70789,0.51819,1.16622,0.00148546,0.00148546,0.00148546
13,232.847,0.46557,0.34267,0.97257,0.88588,0.86701,0.88627,0.74333,0.68954,0.46755,1.16977,0.00146896,0.00146896,0.00146896
14,250.679,0.46436,0.3465,0.97624,0.91045,0.85663,0.87659,0.73579,0.70671,0.47803,1.17881,0.00145246,0.00145246,0.00145246
15,268.581,0.45337,0.34896,0.97709,0.90863,0.83091,0.86211,0.7223,0.70208,0.50118,1.159,0.00143595,0.00143595,0.00143595
