epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9747,3.46878,4.42724,4.07304,0.00316,0.2153,0.00241,0.00066,3.32774,157.015,6.26889,0.000553513,0.000553513,0.000553513
2,48.4945,3.01105,3.65489,3.45041,0.31585,0.13184,0.075,0.02556,2.66517,4.28655,3.61588,0.00108722,0.00108722,0.00108722
3,72.134,2.63291,3.19969,3.04128,0.62642,0.14754,0.12272,0.038,2.42614,4.12419,2.91004,0.00159892,0.00159892,0.00159892
4,95.7663,2.42186,2.92242,2.80452,0.34335,0.34403,0.25029,0.10788,2.13781,3.31299,2.62421,0.00156798,0.00156798,0.00156798
5,118.037,2.30006,2.81236,2.66482,0.29248,0.44103,0.26452,0.11717,1.96795,2.88245,2.43837,0.00153497,0.00153497,0.00153497
6,140.34,2.25577,2.75232,2.54161,0.46254,0.40049,0.38423,0.1774,1.89568,2.05025,2.34285,0.00150197,0.00150197,0.00150197
7,162.694,2.16324,2.54329,2.4606,0.55264,0.378,0.40963,0.19761,1.85104,2.00028,2.29156,0.00146896,0.00146896,0.00146896
8,185.007,2.03563,2.40147,2.35556,0.3988,0.39156,0.33357,0.17506,1.79429,2.05385,2.20659,0.00143595,0.00143595,0.00143595
9,207.662,2.01953,2.31908,2.32641,0.43435,0.53801,0.46974,0.246,1.63564,2.22097,2.0772,0.00140295,0.00140295,0.00140295
10,230.167,1.87836,2.22013,2.22104,0.75272,0.41703,0.55003,0.31394,1.57496,2.02113,2.02545,0.00136994,0.00136994,0.00136994
11,252.774,1.77264,2.01877,2.12425,0.60964,0.56832,0.58993,0.34761,1.56012,1.58526,2.00536,0.00133693,0.00133693,0.00133693
12,274.936,1.72991,1.94475,2.0901,0.70454,0.59714,0.65571,0.39343,1.49308,1.60574,1.93105,0.00130393,0.00130393,0.00130393
13,297.073,1.66108,1.85988,2.02681,0.76479,0.57681,0.66174,0.41893,1.42045,1.46386,1.86478,0.00127092,0.00127092,0.00127092
14,319.076,1.63655,1.82877,1.97285,0.75455,0.61462,0.69219,0.45348,1.32734,1.44054,1.79198,0.00123791,0.00123791,0.00123791
15,341.054,1.51297,1.6804,1.91392,0.7219,0.64082,0.71473,0.47652,1.28726,1.37416,1.78172,0.00120491,0.00120491,0.00120491
16,363.18,1.50671,1.61796,1.91457,0.80267,0.61746,0.69348,0.46859,1.22844,1.23544,1.70753,0.0011719,0.0011719,0.0011719
17,385.039,1.49531,1.57128,1.87144,0.71658,0.60944,0.68285,0.42818,1.29599,1.51148,1.75072,0.00113889,0.00113889,0.00113889
18,406.944,1.43641,1.56899,1.84005,0.79709,0.71546,0.76202,0.52967,1.1909,1.1493,1.65245,0.00110589,0.00110589,0.00110589
19,429.302,1.38729,1.49369,1.77534,0.74294,0.71367,0.74681,0.52514,1.16868,1.18686,1.63002,0.00107288,0.00107288,0.00107288
20,451.103,1.35219,1.45869,1.75306,0.70774,0.67734,0.72298,0.51238,1.13364,1.2222,1.59156,0.00103987,0.00103987,0.00103987
21,472.969,1.30647,1.38549,1.72032,0.81147,0.70971,0.7673,0.54897,1.14228,1.09276,1.57109,0.00100687,0.00100687,0.00100687
22,495,1.29141,1.34163,1.68956,0.8385,0.71008,0.77899,0.55767,1.14923,1.03929,1.57412,0.000973861,0.000973861,0.000973861
23,516.892,1.25627,1.33246,1.65451,0.8228,0.7227,0.77213,0.55501,1.06061,1.07626,1.52391,0.000940855,0.000940855,0.000940855
24,539.332,1.23437,1.3142,1.63972,0.85498,0.70333,0.80059,0.59336,1.03277,0.95807,1.47852,0.000907848,0.000907848,0.000907848
25,562.103,1.20442,1.26783,1.61539,0.85776,0.72802,0.78882,0.57866,1.05747,0.96741,1.48329,0.000874842,0.000874842,0.000874842
26,584.058,1.17768,1.2008,1.58048,0.83618,0.73529,0.79667,0.60607,0.98168,0.96806,1.43686,0.000841835,0.000841835,0.000841835
27,606.642,1.15393,1.25127,1.56284,0.83675,0.72029,0.78743,0.5828,1.0172,1.03369,1.45907,0.000808828,0.000808828,0.000808828
28,629.319,1.14827,1.2323,1.57222,0.8637,0.74291,0.81049,0.61279,0.98117,0.88674,1.42969,0.000775822,0.000775822,0.000775822
29,651.523,1.10096,1.13789,1.51843,0.85392,0.72843,0.7991,0.60099,0.98571,0.90336,1.42699,0.000742815,0.000742815,0.000742815
30,673.738,1.09009,1.11321,1.49735,0.83002,0.73927,0.80641,0.61255,0.95423,0.97459,1.401,0.000709809,0.000709809,0.000709809
31,696.09,1.11526,1.11685,1.52321,0.84023,0.74792,0.8117,0.61637,0.93854,0.8814,1.38586,0.000676802,0.000676802,0.000676802
