epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1734,0.40873,0.30695,0.95,0.89408,0.88396,0.90286,0.75211,0.68525,0.48752,1.15519,0.000553513,0.000553513,0.000553513
2,45.6613,0.43031,0.31273,0.95464,0.89379,0.86646,0.89451,0.74092,0.68507,0.49379,1.1537,0.00110369,0.00110369,0.00110369
3,67.0246,0.44646,0.33838,0.9612,0.9215,0.85008,0.88188,0.7328,0.70547,0.53593,1.15386,0.00164836,0.00164836,0.00164836
4,88.6509,0.4822,0.36737,0.99341,0.85904,0.85034,0.87507,0.72501,0.6961,0.53475,1.18105,0.00164225,0.00164225,0.00164225
5,110.038,0.49505,0.38548,0.99859,0.91722,0.81234,0.87234,0.71287,0.69786,0.53715,1.13834,0.00163399,0.00163399,0.00163399
6,131.705,0.50521,0.39463,0.99414,0.90451,0.81016,0.85266,0.69178,0.71874,0.60225,1.16597,0.00162574,0.00162574,0.00162574
7,154.086,0.51142,0.3979,1.00049,0.89431,0.83055,0.86947,0.71761,0.69829,0.51009,1.15802,0.00161749,0.00161749,0.00161749
8,177.253,0.50116,0.38942,0.99712,0.8842,0.8502,0.87596,0.72497,0.71639,0.5468,1.16369,0.00160924,0.00160924,0.00160924
9,198.847,0.49853,0.38841,0.99446,0.88587,0.8662,0.88368,0.72694,0.70956,0.49898,1.17182,0.00160099,0.00160099,0.00160099
10,220.799,0.49719,0.38355,1.00653,0.90573,0.83982,0.87872,0.73362,0.70739,0.50393,1.16798,0.00159274,0.00159274,0.00159274
11,242.529,0.51197,0.38545,1.00232,0.93383,0.8164,0.87074,0.71428,0.70913,0.51423,1.1423,0.00158448,0.00158448,0.00158448
12,264.554,0.52775,0.41277,1.01832,0.88484,0.85009,0.87616,0.72717,0.69215,0.51814,1.14144,0.00157623,0.00157623,0.00157623
