epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6999,0.95282,2.32956,1.1521,0.6578,0.26103,0.46217,0.3412,0.88953,2.42979,1.04173,0.000547118,0.000547118,0.000547118
2,27.9561,0.90899,1.57394,1.11748,0.80728,0.74844,0.78639,0.56484,0.92936,1.32983,1.08737,0.000738866,0.000738866,0.000738866
3,38.6441,0.85499,1.31279,1.08172,0.81204,0.80362,0.84041,0.65509,0.78072,1.07851,0.98907,0.000563873,0.000563873,0.000563873
