epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2217,3.46878,4.42724,4.07304,0.00316,0.2153,0.00241,0.00066,3.32774,157.015,6.26889,0.000553513,0.000553513,0.000553513
2,45.8725,3.00467,3.65011,3.4413,0.11615,0.06887,0.03452,0.01403,2.66902,3.36508,3.39233,0.0010982,0.0010982,0.0010982
3,67.5803,2.64138,3.26923,3.0438,0.65027,0.13119,0.15741,0.05244,2.39082,2.92925,2.8882,0.00163188,0.00163188,0.00163188
4,89.5944,2.44396,2.96246,2.81572,0.21461,0.19582,0.14103,0.06042,2.29122,5.827,2.7702,0.00161749,0.00161749,0.00161749
5,111.252,2.27011,2.84365,2.62959,0.29829,0.15331,0.13171,0.05855,2.05786,3.49943,2.51687,0.00160099,0.00160099,0.00160099
6,132.9,2.19,2.72272,2.48726,0.35266,0.31033,0.28437,0.13407,1.91532,2.32706,2.3352,0.00158448,0.00158448,0.00158448
7,154.636,2.13976,2.52171,2.41233,0.43206,0.43399,0.36918,0.18744,1.72515,2.02071,2.16879,0.00156798,0.00156798,0.00156798
8,176.455,1.99399,2.38597,2.32151,0.47881,0.3949,0.41336,0.19969,1.77299,1.97722,2.22926,0.00155148,0.00155148,0.00155148
9,198.236,1.96427,2.25466,2.28539,0.58123,0.50334,0.47887,0.26349,1.64672,2.34693,2.08109,0.00153497,0.00153497,0.00153497
10,220.161,1.87124,2.19819,2.19356,0.57953,0.39789,0.47813,0.27584,1.5747,2.28708,1.99681,0.00151847,0.00151847,0.00151847
11,241.916,1.79177,2.05038,2.11505,0.62051,0.56111,0.58323,0.33965,1.51318,1.5797,1.96179,0.00150197,0.00150197,0.00150197
12,263.648,1.74213,1.95989,2.07606,0.72025,0.5713,0.65812,0.39824,1.50725,1.62416,1.92615,0.00148546,0.00148546,0.00148546
13,285.713,1.66892,1.83151,2.02132,0.67581,0.59752,0.66685,0.41459,1.4266,1.45375,1.8614,0.00146896,0.00146896,0.00146896
14,307.615,1.66598,1.84156,1.97403,0.68687,0.6167,0.68613,0.41607,1.40568,1.54606,1.83288,0.00145246,0.00145246,0.00145246
15,329.234,1.55508,1.72075,1.92789,0.73919,0.60753,0.70077,0.4475,1.32331,1.41408,1.77881,0.00143595,0.00143595,0.00143595
16,350.959,1.49469,1.65174,1.89831,0.76903,0.6275,0.73457,0.48776,1.22881,1.29039,1.71105,0.00141945,0.00141945,0.00141945
17,372.693,1.47,1.56262,1.84654,0.73953,0.6863,0.73165,0.49548,1.20147,1.22807,1.68567,0.00140295,0.00140295,0.00140295
18,394.467,1.41774,1.54388,1.82357,0.80418,0.68892,0.76184,0.5249,1.21581,1.15208,1.68031,0.00138644,0.00138644,0.00138644
19,416.136,1.40438,1.50283,1.78009,0.85658,0.68778,0.7708,0.53676,1.14782,1.15611,1.60784,0.00136994,0.00136994,0.00136994
20,437.952,1.36683,1.48615,1.76607,0.72631,0.69056,0.75991,0.53984,1.10388,1.18009,1.5913,0.00135344,0.00135344,0.00135344
21,459.78,1.33727,1.41544,1.73882,0.82106,0.72326,0.77273,0.52915,1.18815,1.10649,1.59677,0.00133693,0.00133693,0.00133693
22,481.492,1.32843,1.37567,1.71677,0.85781,0.70288,0.78472,0.56423,1.1003,0.9887,1.54444,0.00132043,0.00132043,0.00132043
23,503.416,1.25806,1.32885,1.64451,0.82728,0.74418,0.7948,0.56802,1.08459,1.01859,1.53216,0.00130393,0.00130393,0.00130393
24,525.16,1.23711,1.31233,1.63795,0.8281,0.7662,0.80554,0.58953,1.04241,0.94658,1.50268,0.00128742,0.00128742,0.00128742
25,546.902,1.20387,1.27831,1.61515,0.85315,0.71431,0.8021,0.58479,1.05577,0.96628,1.49872,0.00127092,0.00127092,0.00127092
26,568.596,1.1943,1.20392,1.58604,0.87362,0.7466,0.78675,0.57647,1.03258,0.97217,1.49489,0.00125442,0.00125442,0.00125442
27,590.336,1.15928,1.27131,1.55376,0.8323,0.74962,0.78813,0.58555,1.0046,0.95125,1.46777,0.00123791,0.00123791,0.00123791
28,612.17,1.17899,1.25359,1.59809,0.85112,0.72621,0.78924,0.59131,0.99081,0.94162,1.4602,0.00122141,0.00122141,0.00122141
29,633.832,1.14335,1.15585,1.56053,0.83311,0.7327,0.80184,0.61393,0.95977,0.90189,1.43117,0.00120491,0.00120491,0.00120491
30,655.593,1.09672,1.12892,1.49768,0.7952,0.77556,0.80294,0.61243,0.96703,0.92496,1.40654,0.0011884,0.0011884,0.0011884
31,677.274,1.11201,1.15128,1.5169,0.74498,0.73677,0.75664,0.56668,0.95052,1.01557,1.40101,0.0011719,0.0011719,0.0011719
32,698.952,1.10793,1.09839,1.52661,0.86418,0.75574,0.82647,0.63556,0.93465,0.87446,1.3897,0.0011554,0.0011554,0.0011554
33,720.714,1.08026,1.09296,1.48189,0.81777,0.75087,0.80353,0.61172,0.9609,0.85034,1.38578,0.00113889,0.00113889,0.00113889
34,742.421,1.08317,1.07386,1.49196,0.8564,0.77458,0.83054,0.64212,0.90686,0.78075,1.3391,0.00112239,0.00112239,0.00112239
35,764.353,1.05895,1.07272,1.45177,0.87469,0.76088,0.81686,0.63373,0.90308,0.81233,1.35998,0.00110589,0.00110589,0.00110589
36,786.208,1.03777,1.03166,1.44813,0.82052,0.78611,0.80456,0.62115,0.92491,0.83383,1.36686,0.00108938,0.00108938,0.00108938
37,807.906,1.04733,1.05105,1.46252,0.85669,0.74529,0.81551,0.60961,0.93282,0.87115,1.36271,0.00107288,0.00107288,0.00107288
38,829.651,1.07381,1.01966,1.45033,0.8444,0.76198,0.8258,0.64912,0.87418,0.76841,1.31838,0.00105638,0.00105638,0.00105638
39,851.41,1.01602,0.98426,1.4071,0.80924,0.79116,0.8197,0.63123,0.9149,0.79724,1.35098,0.00103987,0.00103987,0.00103987
40,873.12,1.02956,0.98048,1.43306,0.85866,0.80131,0.8407,0.64968,0.89184,0.77467,1.32534,0.00102337,0.00102337,0.00102337
41,894.794,1.04711,1.00019,1.45466,0.83393,0.78706,0.83568,0.64188,0.89779,0.78021,1.35084,0.00100687,0.00100687,0.00100687
42,916.427,1.01209,0.96501,1.41443,0.81792,0.78851,0.82585,0.65087,0.86373,0.76073,1.30487,0.000990365,0.000990365,0.000990365
43,938.149,0.98281,0.93538,1.38966,0.84202,0.77813,0.82687,0.64568,0.87014,0.76938,1.33603,0.000973861,0.000973861,0.000973861
44,959.89,0.9645,0.93621,1.39508,0.84399,0.80084,0.84979,0.67621,0.8533,0.74588,1.30253,0.000957358,0.000957358,0.000957358
45,981.632,0.96712,0.93699,1.3617,0.87277,0.79803,0.84641,0.66218,0.84438,0.7455,1.30328,0.000940855,0.000940855,0.000940855
46,1003.43,0.96368,0.91856,1.38307,0.84962,0.78905,0.83936,0.66754,0.83795,0.73227,1.30631,0.000924352,0.000924352,0.000924352
47,1025.22,0.96037,0.92581,1.37928,0.89056,0.80575,0.84764,0.65949,0.85035,0.72921,1.29813,0.000907848,0.000907848,0.000907848
48,1046.78,0.92318,0.87329,1.35506,0.89076,0.76186,0.84404,0.66838,0.8444,0.73249,1.30542,0.000891345,0.000891345,0.000891345
49,1068.5,0.92946,0.87107,1.34274,0.84418,0.82957,0.84157,0.66472,0.83751,0.74675,1.29789,0.000874842,0.000874842,0.000874842
50,1090.23,0.92286,0.85329,1.34907,0.864,0.83777,0.86253,0.68851,0.82481,0.69107,1.27183,0.000858338,0.000858338,0.000858338
