epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0507,3.4554,4.59414,4.1143,0.02381,0.18102,0.00496,0.00142,3.2261,14.7284,4.11815,0.000553513,0.000553513,0.000553513
2,36.7512,3.05905,3.84927,3.463,0.59764,0.07582,0.05651,0.01821,2.68398,3.33031,3.09887,0.00106526,0.00106526,0.00106526
3,54.5566,2.69834,3.41879,3.06913,0.55626,0.1168,0.10454,0.04367,2.40744,4.07667,2.93368,0.00153299,0.00153299,0.00153299
4,72.2591,2.45897,3.03915,2.80848,0.27401,0.32342,0.23686,0.09237,2.24351,3.24426,2.65775,0.00146896,0.00146896,0.00146896
5,89.5301,2.2787,2.80398,2.63318,0.34877,0.44972,0.23547,0.1077,2.02213,2.84411,2.45903,0.00140295,0.00140295,0.00140295
6,106.761,2.16328,2.69234,2.49505,0.5409,0.38195,0.43984,0.21822,1.82371,2.10081,2.23411,0.00133693,0.00133693,0.00133693
7,124.301,2.0909,2.49958,2.40556,0.55739,0.4942,0.50689,0.29193,1.65562,1.78993,2.09856,0.00127092,0.00127092,0.00127092
8,142.043,1.95278,2.30486,2.2905,0.54794,0.45283,0.50039,0.27819,1.69518,1.81034,2.1082,0.00120491,0.00120491,0.00120491
9,159.281,1.8784,2.18557,2.21971,0.65987,0.49844,0.56578,0.3381,1.5483,1.66547,1.96571,0.00113889,0.00113889,0.00113889
10,176.633,1.82831,2.10541,2.18026,0.56691,0.58812,0.60429,0.35666,1.5531,1.66829,1.95337,0.00107288,0.00107288,0.00107288
11,194.431,1.75545,2.05134,2.10482,0.66526,0.58318,0.62731,0.37819,1.50577,1.50334,1.90708,0.00100687,0.00100687,0.00100687
12,211.896,1.71775,1.93977,2.05751,0.63483,0.62839,0.66826,0.41509,1.46076,1.46269,1.87836,0.000940855,0.000940855,0.000940855
13,229.236,1.6702,1.85253,2.0106,0.67468,0.61601,0.6764,0.44552,1.36862,1.3311,1.78509,0.000874842,0.000874842,0.000874842
14,246.728,1.58941,1.79536,1.91627,0.70562,0.60666,0.68779,0.45287,1.32497,1.31617,1.73708,0.000808828,0.000808828,0.000808828
15,264.495,1.52541,1.71646,1.89302,0.73851,0.64097,0.6996,0.45476,1.35902,1.38947,1.74763,0.000742815,0.000742815,0.000742815
16,285.535,1.3723,1.56846,1.78398,0.80901,0.65587,0.72907,0.49628,1.27043,1.20074,1.66247,0.000676802,0.000676802,0.000676802
17,302.927,1.35091,1.4561,1.77807,0.81882,0.65434,0.73241,0.51214,1.24584,1.17626,1.66618,0.000610789,0.000610789,0.000610789
18,320.396,1.29248,1.39577,1.71923,0.82548,0.68181,0.74788,0.52619,1.20741,1.1384,1.63191,0.000544776,0.000544776,0.000544776
19,338.009,1.25189,1.34669,1.68429,0.8216,0.68683,0.75592,0.52998,1.19772,1.09683,1.60811,0.000478762,0.000478762,0.000478762
20,356.095,1.20527,1.29898,1.62986,0.79738,0.69853,0.75745,0.53589,1.17428,1.06867,1.57959,0.000412749,0.000412749,0.000412749
21,374.181,1.17093,1.25207,1.60228,0.81309,0.73309,0.77985,0.55376,1.12557,1.03078,1.54832,0.000346736,0.000346736,0.000346736
22,391.893,1.15514,1.22257,1.56931,0.84428,0.72604,0.78764,0.55216,1.15458,1.01459,1.55637,0.000280723,0.000280723,0.000280723
23,409.429,1.13593,1.16107,1.53529,0.81788,0.72871,0.78559,0.57189,1.10075,0.99627,1.50333,0.00021471,0.00021471,0.00021471
24,427.241,1.09091,1.12658,1.517,0.89277,0.7309,0.79643,0.57432,1.08579,0.97832,1.5006,0.000148696,0.000148696,0.000148696
25,444.501,1.06448,1.09988,1.49946,0.8918,0.71656,0.79616,0.58954,1.07197,0.93832,1.48987,8.26832e-05,8.26832e-05,8.26832e-05
