epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8518,0.41583,0.30079,0.95371,0.89464,0.88633,0.90209,0.76362,0.64446,0.43416,1.12331,0.000547118,0.000547118,0.000547118
2,32.7637,0.42932,0.31615,0.95484,0.90542,0.87028,0.90588,0.75909,0.65702,0.46416,1.13125,0.00109733,0.00109733,0.00109733
3,48.5383,0.43841,0.32536,0.95994,0.92983,0.84784,0.90114,0.75386,0.66324,0.46673,1.1291,0.00164203,0.00164203,0.00164203
4,64.3584,0.48168,0.36495,0.98261,0.89525,0.86447,0.8915,0.7341,0.68485,0.49808,1.14957,0.00164225,0.00164225,0.00164225
5,80.2212,0.47312,0.3502,0.9852,0.9105,0.84149,0.87924,0.73743,0.66517,0.51642,1.11848,0.00163399,0.00163399,0.00163399
6,97.7853,0.47902,0.35471,0.98063,0.92354,0.86743,0.8936,0.73827,0.67915,0.46596,1.15253,0.00162574,0.00162574,0.00162574
7,113.649,0.47372,0.35248,0.98502,0.9198,0.87576,0.8996,0.73799,0.68462,0.44769,1.15211,0.00161749,0.00161749,0.00161749
8,129.446,0.47946,0.35878,0.98523,0.89011,0.861,0.88114,0.73247,0.7173,0.52377,1.17312,0.00160924,0.00160924,0.00160924
9,145.474,0.47568,0.35854,0.97498,0.89265,0.88247,0.89087,0.73808,0.68754,0.49887,1.15895,0.00160099,0.00160099,0.00160099
10,161.281,0.46577,0.3586,0.98005,0.88949,0.84419,0.86661,0.71753,0.69389,0.51645,1.14839,0.00159274,0.00159274,0.00159274
11,177.181,0.4916,0.35059,0.99011,0.90418,0.8312,0.88294,0.72657,0.69494,0.49074,1.15394,0.00158448,0.00158448,0.00158448
12,193.111,0.48416,0.36385,0.98838,0.88466,0.84131,0.8652,0.71392,0.69254,0.52559,1.15246,0.00157623,0.00157623,0.00157623
13,209.076,0.47409,0.34907,0.97768,0.86916,0.8882,0.89,0.74095,0.69167,0.49117,1.16537,0.00156798,0.00156798,0.00156798
14,225.353,0.46391,0.35125,0.96668,0.87454,0.88918,0.88929,0.73245,0.68934,0.504,1.15461,0.00155973,0.00155973,0.00155973
