epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2378,0.5304,0.40663,1.0237,0.85273,0.87062,0.888,0.72524,0.72471,0.54059,1.17068,0.000553513,0.000553513,0.000553513
2,47.1146,0.5612,0.43925,1.03239,0.86251,0.82786,0.85443,0.69247,0.72086,0.61884,1.17735,0.0010982,0.0010982,0.0010982
3,69.365,0.59753,0.48466,1.06469,0.89783,0.80415,0.8688,0.69354,0.76188,0.57504,1.20946,0.00163188,0.00163188,0.00163188
4,91.5634,0.63968,0.5442,1.10591,0.90997,0.78615,0.86036,0.71402,0.72951,0.5689,1.17638,0.00161749,0.00161749,0.00161749
5,113.897,0.64287,0.54473,1.10356,0.90449,0.79928,0.84778,0.69119,0.74926,0.64226,1.19122,0.00160099,0.00160099,0.00160099
6,135.96,0.65588,0.55087,1.09765,0.88934,0.8484,0.881,0.70864,0.76625,0.58063,1.20198,0.00158448,0.00158448,0.00158448
7,158.113,0.65472,0.56358,1.09699,0.88517,0.81623,0.84544,0.68411,0.75827,0.57657,1.2073,0.00156798,0.00156798,0.00156798
8,180.522,0.64074,0.53629,1.09764,0.88447,0.83918,0.87393,0.69865,0.76079,0.5755,1.20946,0.00155148,0.00155148,0.00155148
9,202.825,0.64552,0.53611,1.09572,0.88805,0.82356,0.86553,0.69497,0.77501,0.54877,1.21959,0.00153497,0.00153497,0.00153497
10,225.068,0.6565,0.52657,1.11197,0.86974,0.82683,0.85792,0.68968,0.78792,0.55667,1.23294,0.00151847,0.00151847,0.00151847
11,247.565,0.6564,0.52417,1.09435,0.91934,0.84378,0.88581,0.70289,0.76921,0.54342,1.22754,0.00150197,0.00150197,0.00150197
12,269.709,0.65084,0.54994,1.10849,0.88757,0.83341,0.87615,0.70836,0.75063,0.55811,1.21072,0.00148546,0.00148546,0.00148546
13,291.97,0.64087,0.51996,1.10205,0.85852,0.85515,0.86755,0.701,0.7323,0.56022,1.19417,0.00146896,0.00146896,0.00146896
14,314.364,0.65733,0.52492,1.0931,0.89608,0.81863,0.86933,0.70075,0.76323,0.58207,1.23128,0.00145246,0.00145246,0.00145246
15,336.599,0.63956,0.52567,1.09511,0.89924,0.82535,0.86875,0.70542,0.74683,0.5426,1.19306,0.00143595,0.00143595,0.00143595
16,358.968,0.63465,0.51838,1.09162,0.88534,0.85239,0.8723,0.70967,0.76684,0.5562,1.21621,0.00141945,0.00141945,0.00141945
17,381.274,0.63388,0.51262,1.09112,0.85139,0.80694,0.84752,0.68888,0.75142,0.58545,1.18178,0.00140295,0.00140295,0.00140295
18,403.999,0.63243,0.50993,1.10124,0.85087,0.85676,0.87783,0.71365,0.71751,0.51948,1.16372,0.00138644,0.00138644,0.00138644
19,427.062,0.63199,0.52046,1.08022,0.87057,0.8557,0.89653,0.73403,0.73251,0.51376,1.16986,0.00136994,0.00136994,0.00136994
20,450.382,0.62039,0.52294,1.09173,0.89835,0.8461,0.88123,0.72341,0.7272,0.53048,1.17869,0.00135344,0.00135344,0.00135344
21,472.747,0.60133,0.50259,1.07218,0.8888,0.84364,0.87146,0.72261,0.70693,0.53511,1.16176,0.00133693,0.00133693,0.00133693
22,495.138,0.61077,0.49956,1.07023,0.86161,0.83996,0.87678,0.71754,0.7252,0.56548,1.16605,0.00132043,0.00132043,0.00132043
23,517.458,0.60633,0.48247,1.07108,0.90252,0.84204,0.88615,0.72414,0.70354,0.52682,1.175,0.00130393,0.00130393,0.00130393
24,539.647,0.61448,0.49366,1.08468,0.90929,0.85239,0.88446,0.71695,0.74489,0.54758,1.185,0.00128742,0.00128742,0.00128742
25,561.866,0.59743,0.51397,1.08207,0.88733,0.82897,0.88512,0.72041,0.72728,0.53665,1.17008,0.00127092,0.00127092,0.00127092
26,584.276,0.58934,0.48331,1.0632,0.8497,0.86157,0.87368,0.70778,0.73334,0.54182,1.18248,0.00125442,0.00125442,0.00125442
27,606.426,0.60068,0.49593,1.05874,0.90285,0.82376,0.8735,0.70618,0.75028,0.58124,1.21834,0.00123791,0.00123791,0.00123791
28,628.74,0.58519,0.4945,1.07432,0.87922,0.84549,0.88487,0.73627,0.70457,0.51811,1.14317,0.00122141,0.00122141,0.00122141
29,651.157,0.59287,0.46911,1.07237,0.90424,0.83516,0.88387,0.72568,0.70669,0.51137,1.15403,0.00120491,0.00120491,0.00120491
30,673.343,0.5711,0.46636,1.04857,0.85335,0.87535,0.88435,0.72285,0.70707,0.5125,1.1621,0.0011884,0.0011884,0.0011884
31,695.611,0.5855,0.46564,1.0699,0.88812,0.83582,0.87673,0.71003,0.72519,0.53145,1.18368,0.0011719,0.0011719,0.0011719
32,717.88,0.57537,0.45885,1.05687,0.87157,0.85568,0.89294,0.73057,0.72608,0.52404,1.17504,0.0011554,0.0011554,0.0011554
33,740.213,0.5723,0.46601,1.05082,0.8966,0.85802,0.89026,0.73474,0.70064,0.52005,1.14437,0.00113889,0.00113889,0.00113889
34,762.498,0.58128,0.4738,1.0601,0.85397,0.83411,0.84997,0.68574,0.7395,0.58745,1.18892,0.00112239,0.00112239,0.00112239
35,784.79,0.59076,0.48669,1.05588,0.9017,0.789,0.86305,0.70245,0.7238,0.57096,1.16983,0.00110589,0.00110589,0.00110589
36,807.013,0.5706,0.46805,1.05622,0.86895,0.85225,0.87855,0.72731,0.71252,0.51488,1.16202,0.00108938,0.00108938,0.00108938
37,829.218,0.58069,0.47658,1.06185,0.86625,0.84769,0.88012,0.72043,0.70739,0.54685,1.15765,0.00107288,0.00107288,0.00107288
38,851.613,0.6119,0.47672,1.06891,0.87605,0.86291,0.88241,0.72143,0.72869,0.50222,1.1752,0.00105638,0.00105638,0.00105638
39,873.825,0.57954,0.45816,1.0535,0.8865,0.84159,0.89033,0.72457,0.72618,0.5231,1.17903,0.00103987,0.00103987,0.00103987
40,896.135,0.55953,0.44506,1.04669,0.86851,0.81569,0.88018,0.72477,0.68934,0.51352,1.14013,0.00102337,0.00102337,0.00102337
41,918.576,0.59055,0.46918,1.06436,0.90066,0.85034,0.89411,0.72302,0.7249,0.54756,1.16613,0.00100687,0.00100687,0.00100687
42,940.829,0.56705,0.46288,1.03757,0.86627,0.87067,0.87932,0.72757,0.71452,0.53338,1.16452,0.000990365,0.000990365,0.000990365
43,963.088,0.57486,0.44933,1.04944,0.87932,0.85764,0.88268,0.72984,0.6935,0.51959,1.13961,0.000973861,0.000973861,0.000973861
44,985.387,0.55719,0.4464,1.05041,0.84506,0.88661,0.88968,0.72804,0.69905,0.5062,1.14955,0.000957358,0.000957358,0.000957358
45,1007.51,0.56885,0.4517,1.03615,0.86775,0.87248,0.88485,0.73005,0.70486,0.52781,1.15368,0.000940855,0.000940855,0.000940855
46,1029.78,0.57037,0.4581,1.04856,0.91418,0.842,0.87928,0.72561,0.71066,0.52158,1.14118,0.000924352,0.000924352,0.000924352
47,1052.13,0.55784,0.44613,1.05144,0.88851,0.88148,0.88534,0.73083,0.68582,0.51741,1.13485,0.000907848,0.000907848,0.000907848
48,1074.28,0.55271,0.44216,1.04479,0.88446,0.86718,0.8763,0.72028,0.71388,0.51829,1.16599,0.000891345,0.000891345,0.000891345
49,1096.62,0.54801,0.42412,1.02588,0.90056,0.83016,0.88414,0.71935,0.72767,0.5277,1.17636,0.000874842,0.000874842,0.000874842
50,1118.93,0.55183,0.43431,1.03961,0.87135,0.85649,0.87661,0.72346,0.70412,0.51135,1.15874,0.000858338,0.000858338,0.000858338
51,1141.13,0.56067,0.44046,1.05533,0.88699,0.86444,0.89058,0.7296,0.72508,0.49852,1.18112,0.000841835,0.000841835,0.000841835
52,1163.59,0.54925,0.43373,1.03868,0.89775,0.86107,0.88841,0.74539,0.67823,0.47629,1.13862,0.000825332,0.000825332,0.000825332
53,1185.92,0.53995,0.43237,1.03384,0.8827,0.84801,0.88365,0.73026,0.69508,0.50047,1.15634,0.000808828,0.000808828,0.000808828
54,1208.04,0.53048,0.42472,1.0226,0.9146,0.82595,0.87542,0.72705,0.7025,0.51342,1.17455,0.000792325,0.000792325,0.000792325
55,1230.45,0.52922,0.41397,1.0264,0.87075,0.86496,0.89027,0.73468,0.68549,0.49912,1.1613,0.000775822,0.000775822,0.000775822
56,1252.72,0.52224,0.43715,1.02342,0.90363,0.80988,0.86692,0.70525,0.69973,0.53911,1.15944,0.000759318,0.000759318,0.000759318
57,1274.94,0.52975,0.40328,1.01228,0.90087,0.83311,0.87377,0.7232,0.68018,0.51604,1.1394,0.000742815,0.000742815,0.000742815
58,1297.39,0.53044,0.41615,1.02554,0.87357,0.86059,0.88358,0.73052,0.68731,0.49623,1.15676,0.000726312,0.000726312,0.000726312
59,1319.57,0.53439,0.42229,1.0228,0.91194,0.85209,0.89062,0.7338,0.69959,0.49514,1.15239,0.000709809,0.000709809,0.000709809
60,1341.79,0.52377,0.42147,1.01936,0.94335,0.81542,0.88034,0.72362,0.70115,0.51272,1.15799,0.000693305,0.000693305,0.000693305
61,1364.26,0.52627,0.40578,1.02075,0.92498,0.82902,0.88203,0.73014,0.69463,0.51694,1.15176,0.000676802,0.000676802,0.000676802
62,1386.67,0.53183,0.4237,1.01192,0.90649,0.83726,0.88217,0.73503,0.67654,0.50387,1.11442,0.000660299,0.000660299,0.000660299
63,1408.97,0.52045,0.40578,1.02663,0.87111,0.86915,0.89493,0.74228,0.67833,0.48463,1.12484,0.000643795,0.000643795,0.000643795
64,1431.33,0.49483,0.38758,1.00581,0.893,0.85239,0.87977,0.73905,0.66754,0.48172,1.13306,0.000627292,0.000627292,0.000627292
65,1453.48,0.50303,0.38721,1.00418,0.90448,0.84863,0.88018,0.72471,0.69979,0.51815,1.15926,0.000610789,0.000610789,0.000610789
66,1475.64,0.5074,0.39829,1.0069,0.89069,0.84737,0.87473,0.72956,0.69654,0.50447,1.15225,0.000594286,0.000594286,0.000594286
67,1498.11,0.5113,0.40364,1.01563,0.91836,0.8566,0.88002,0.73798,0.67386,0.48363,1.12573,0.000577782,0.000577782,0.000577782
68,1520.21,0.5113,0.39471,1.016,0.90124,0.8651,0.88863,0.73784,0.68509,0.4989,1.14814,0.000561279,0.000561279,0.000561279
69,1542.4,0.50004,0.40118,1.00388,0.92583,0.83164,0.89555,0.74558,0.66709,0.48321,1.13011,0.000544776,0.000544776,0.000544776
70,1564.78,0.49097,0.38502,1.00633,0.90572,0.83313,0.87062,0.72506,0.68354,0.49731,1.14972,0.000528272,0.000528272,0.000528272
71,1586.98,0.49527,0.37558,1.00634,0.92277,0.84988,0.89937,0.7441,0.68277,0.47432,1.15097,0.000511769,0.000511769,0.000511769
72,1609.38,0.50133,0.38521,1.00249,0.92355,0.84391,0.89327,0.73943,0.68298,0.4725,1.13199,0.000495266,0.000495266,0.000495266
73,1631.7,0.48972,0.37931,1.00914,0.93107,0.86574,0.89717,0.74481,0.67663,0.47684,1.14516,0.000478762,0.000478762,0.000478762
74,1653.87,0.4832,0.38547,1.0054,0.92652,0.8543,0.88998,0.74109,0.65974,0.46165,1.12806,0.000462259,0.000462259,0.000462259
75,1676.08,0.49839,0.38352,1.00892,0.89539,0.85635,0.88673,0.73912,0.67664,0.48045,1.14346,0.000445756,0.000445756,0.000445756
76,1698.47,0.48486,0.37339,1.00502,0.90281,0.87754,0.89263,0.74784,0.67101,0.45664,1.15301,0.000429253,0.000429253,0.000429253
77,1720.69,0.47994,0.3789,0.99581,0.92491,0.82669,0.88405,0.73927,0.67286,0.47976,1.1442,0.000412749,0.000412749,0.000412749
78,1743.01,0.47037,0.36839,0.98838,0.91482,0.85629,0.89708,0.74944,0.67644,0.47319,1.14473,0.000396246,0.000396246,0.000396246
79,1765.37,0.48135,0.36994,1.00753,0.92752,0.84031,0.89199,0.73967,0.66994,0.47019,1.14205,0.000379743,0.000379743,0.000379743
80,1787.46,0.48069,0.37669,1.0022,0.9039,0.86401,0.89872,0.75057,0.66578,0.46348,1.13652,0.000363239,0.000363239,0.000363239
81,1809.78,0.48075,0.36856,1.00148,0.93309,0.84382,0.89756,0.75108,0.67313,0.46498,1.1345,0.000346736,0.000346736,0.000346736
82,1832.24,0.47564,0.37751,0.9944,0.93866,0.84596,0.90356,0.75443,0.66105,0.46434,1.13371,0.000330233,0.000330233,0.000330233
83,1854.58,0.47774,0.37224,0.99535,0.92886,0.85121,0.89649,0.74666,0.66574,0.45487,1.13872,0.000313729,0.000313729,0.000313729
84,1877.2,0.47747,0.36931,0.9933,0.92259,0.85025,0.89787,0.75044,0.66943,0.45979,1.1422,0.000297226,0.000297226,0.000297226
85,1899.5,0.4695,0.37491,1.00789,0.90464,0.86674,0.89697,0.74966,0.66422,0.45012,1.13231,0.000280723,0.000280723,0.000280723
86,1921.69,0.46818,0.38543,0.9832,0.92854,0.86059,0.89453,0.74553,0.6652,0.4626,1.1386,0.00026422,0.00026422,0.00026422
87,1943.91,0.46357,0.35774,0.996,0.92658,0.84531,0.89203,0.74419,0.65748,0.46073,1.13467,0.000247716,0.000247716,0.000247716
88,1966.25,0.46911,0.35345,0.98679,0.91801,0.85225,0.90215,0.75297,0.66333,0.45733,1.13453,0.000231213,0.000231213,0.000231213
89,1988.4,0.46285,0.35347,0.99863,0.88749,0.88587,0.90077,0.75015,0.65799,0.44346,1.13203,0.00021471,0.00021471,0.00021471
90,2010.66,0.45877,0.35066,0.97423,0.9078,0.87141,0.89868,0.75348,0.65719,0.45256,1.13249,0.000198206,0.000198206,0.000198206
91,2036.83,0.38398,0.2818,0.90524,0.86736,0.89025,0.90552,0.75552,0.65497,0.44567,1.13394,0.000181703,0.000181703,0.000181703
92,2058.98,0.35897,0.2681,0.88204,0.89081,0.87754,0.90005,0.75074,0.66027,0.4541,1.13545,0.0001652,0.0001652,0.0001652
93,2081.11,0.36347,0.26543,0.88451,0.92241,0.85225,0.90489,0.75167,0.66491,0.45367,1.13272,0.000148696,0.000148696,0.000148696
94,2103.47,0.37147,0.26937,0.8913,0.91237,0.85919,0.90032,0.75136,0.65702,0.44595,1.13086,0.000132193,0.000132193,0.000132193
95,2125.58,0.36023,0.26213,0.88871,0.91621,0.85784,0.89983,0.75,0.65789,0.45157,1.12924,0.00011569,0.00011569,0.00011569
96,2147.75,0.37403,0.26957,0.89634,0.881,0.88601,0.89964,0.75464,0.65665,0.45653,1.13022,9.91865e-05,9.91865e-05,9.91865e-05
97,2170.16,0.35984,0.26527,0.89241,0.89102,0.87986,0.90086,0.75671,0.65234,0.4525,1.13139,8.26832e-05,8.26832e-05,8.26832e-05
98,2192.24,0.36238,0.25892,0.88754,0.89459,0.86906,0.90391,0.75907,0.64892,0.45049,1.12883,6.61799e-05,6.61799e-05,6.61799e-05
99,2214.39,0.36153,0.26248,0.89147,0.90033,0.85999,0.90227,0.75731,0.65044,0.45463,1.1284,4.96766e-05,4.96766e-05,4.96766e-05
100,2236.77,0.36072,0.25733,0.88682,0.87278,0.89667,0.90467,0.75801,0.65027,0.45333,1.12701,3.31733e-05,3.31733e-05,3.31733e-05
