epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8605,0.419,0.3127,0.95053,0.87639,0.89357,0.90589,0.7613,0.69665,0.48513,1.16479,0.000551359,0.000551359,0.000551359
2,36.71,0.43185,0.31895,0.96644,0.91562,0.85983,0.8935,0.74689,0.69467,0.52157,1.1658,0.00110337,0.00110337,0.00110337
3,54.5673,0.46031,0.35409,0.97793,0.9243,0.85699,0.88295,0.73461,0.7161,0.50538,1.18218,0.00165172,0.00165172,0.00165172
4,72.2861,0.47593,0.36168,0.99202,0.89097,0.85663,0.88353,0.74184,0.69715,0.5025,1.17661,0.0016505,0.0016505,0.0016505
5,90.0066,0.4754,0.35978,0.98152,0.91896,0.84808,0.88045,0.73161,0.70265,0.51918,1.15695,0.001645,0.001645,0.001645
6,107.707,0.47187,0.36638,0.98139,0.89198,0.83189,0.88131,0.72995,0.71564,0.50737,1.18766,0.00163949,0.00163949,0.00163949
7,125.644,0.47663,0.35813,0.9911,0.88614,0.85515,0.88411,0.72879,0.72286,0.48392,1.19166,0.00163399,0.00163399,0.00163399
8,143.601,0.48533,0.37173,0.99612,0.92567,0.83382,0.89297,0.74498,0.69407,0.47453,1.18524,0.00162849,0.00162849,0.00162849
9,161.591,0.48816,0.37037,0.97722,0.91639,0.82289,0.87707,0.71976,0.74599,0.53918,1.21707,0.00162299,0.00162299,0.00162299
10,179.489,0.47714,0.36918,0.97209,0.905,0.85237,0.87816,0.71757,0.74206,0.50385,1.22773,0.00161749,0.00161749,0.00161749
11,197.399,0.48293,0.36314,0.9814,0.88842,0.83954,0.87815,0.72546,0.72052,0.50344,1.18603,0.00161199,0.00161199,0.00161199
12,215.394,0.49695,0.37394,0.99168,0.87282,0.85108,0.87171,0.71985,0.70359,0.52847,1.17045,0.00160649,0.00160649,0.00160649
