epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1903,0.34903,0.25972,0.91787,0.91863,0.87098,0.89999,0.75835,0.6483,0.45993,1.1335,0.000547118,0.000547118,0.000547118
2,36.9967,0.4309,0.31684,0.95674,0.88832,0.86073,0.90044,0.75072,0.65814,0.46865,1.13456,0.00109187,0.00109187,0.00109187
3,52.6879,0.43843,0.32351,0.96454,0.88467,0.87712,0.89483,0.74267,0.66879,0.48988,1.13958,0.00162561,0.00162561,0.00162561
4,68.4869,0.47399,0.36416,0.98443,0.89526,0.87496,0.89106,0.74001,0.67459,0.4743,1.1457,0.00161749,0.00161749,0.00161749
5,84.1359,0.46622,0.34887,0.98571,0.92557,0.84815,0.88926,0.73884,0.66916,0.46866,1.14317,0.00160099,0.00160099,0.00160099
6,99.8406,0.47603,0.3528,0.98304,0.92076,0.83791,0.88674,0.73664,0.68088,0.50361,1.16689,0.00158448,0.00158448,0.00158448
7,115.566,0.48145,0.3652,0.98965,0.92791,0.87752,0.90091,0.73717,0.69009,0.46849,1.16311,0.00156798,0.00156798,0.00156798
8,131.399,0.48098,0.3591,0.98322,0.89724,0.85508,0.89485,0.73188,0.70124,0.48013,1.17833,0.00155148,0.00155148,0.00155148
9,147.068,0.47313,0.36035,0.97441,0.92724,0.84919,0.89458,0.74104,0.68015,0.48438,1.13492,0.00153497,0.00153497,0.00153497
10,162.885,0.4566,0.35316,0.97523,0.93505,0.85124,0.89395,0.73009,0.68836,0.47926,1.14416,0.00151847,0.00151847,0.00151847
11,178.652,0.47698,0.34737,0.98046,0.92259,0.80962,0.86168,0.7208,0.6585,0.48846,1.13241,0.00150197,0.00150197,0.00150197
12,194.527,0.47313,0.35738,0.98373,0.90187,0.84318,0.86997,0.72241,0.68284,0.49583,1.14737,0.00148546,0.00148546,0.00148546
13,210.272,0.46932,0.34098,0.97436,0.89053,0.84596,0.8798,0.73244,0.66817,0.50062,1.15153,0.00146896,0.00146896,0.00146896
14,226.036,0.45672,0.3432,0.96548,0.89625,0.85166,0.88618,0.73383,0.68685,0.49529,1.16247,0.00145246,0.00145246,0.00145246
15,241.758,0.45582,0.34613,0.98214,0.91294,0.88,0.89178,0.7435,0.67075,0.48597,1.14041,0.00143595,0.00143595,0.00143595
16,264.538,0.46756,0.34374,0.97804,0.91371,0.8704,0.9106,0.75522,0.67695,0.44325,1.13592,0.00141945,0.00141945,0.00141945
17,283.758,0.47018,0.35245,0.97154,0.84745,0.8733,0.89027,0.73458,0.67141,0.49375,1.14709,0.00140295,0.00140295,0.00140295
18,299.995,0.45012,0.34498,0.97404,0.91202,0.84478,0.88329,0.73167,0.66598,0.48088,1.14102,0.00138644,0.00138644,0.00138644
19,316.084,0.46523,0.34635,0.96935,0.85192,0.87606,0.89206,0.74238,0.68382,0.47618,1.14719,0.00136994,0.00136994,0.00136994
20,332.425,0.47288,0.36762,0.99343,0.90503,0.86442,0.89184,0.74458,0.67932,0.48186,1.14371,0.00135344,0.00135344,0.00135344
21,348.332,0.47653,0.35408,0.97584,0.92202,0.85048,0.89061,0.74435,0.66529,0.45982,1.13489,0.00133693,0.00133693,0.00133693
22,364.351,0.4491,0.34352,0.9666,0.86168,0.87767,0.89166,0.73603,0.67535,0.4579,1.15784,0.00132043,0.00132043,0.00132043
23,380.289,0.46442,0.35279,0.97828,0.88389,0.85982,0.89425,0.74015,0.66632,0.4795,1.13625,0.00130393,0.00130393,0.00130393
24,396.352,0.45166,0.33402,0.96749,0.88953,0.88658,0.90447,0.74864,0.66541,0.46112,1.14341,0.00128742,0.00128742,0.00128742
25,412.243,0.4545,0.34708,0.9764,0.89382,0.85644,0.90251,0.75837,0.64732,0.45569,1.12391,0.00127092,0.00127092,0.00127092
