epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5788,0.34619,0.25214,0.91337,0.92506,0.86352,0.89395,0.76124,0.63733,0.44886,1.12686,0.000547118,0.000547118,0.000547118
2,32.6709,0.38776,0.28531,0.93056,0.90738,0.86771,0.89607,0.75276,0.64047,0.46038,1.13159,0.00109187,0.00109187,0.00109187
3,48.2864,0.39631,0.29181,0.93662,0.92074,0.83795,0.89082,0.73639,0.67386,0.49753,1.14909,0.00162561,0.00162561,0.00162561
4,63.893,0.44069,0.33125,0.96021,0.90155,0.817,0.88498,0.73904,0.67231,0.47793,1.15945,0.00161749,0.00161749,0.00161749
5,79.5738,0.43814,0.32006,0.96734,0.92736,0.8312,0.88657,0.74156,0.66249,0.4823,1.13592,0.00160099,0.00160099,0.00160099
6,95.3858,0.4451,0.3292,0.95977,0.90115,0.87358,0.88713,0.74622,0.65449,0.46138,1.13546,0.00158448,0.00158448,0.00158448
7,111.08,0.44482,0.32403,0.96278,0.91746,0.85881,0.89006,0.7429,0.66106,0.45515,1.13349,0.00156798,0.00156798,0.00156798
8,126.769,0.45187,0.32937,0.96065,0.89322,0.85626,0.87418,0.7245,0.68288,0.46867,1.15919,0.00155148,0.00155148,0.00155148
9,142.473,0.44359,0.33325,0.95574,0.91017,0.83373,0.88468,0.73933,0.67808,0.47178,1.13683,0.00153497,0.00153497,0.00153497
10,158.491,0.43067,0.32426,0.95924,0.89143,0.84017,0.86926,0.72348,0.67929,0.49611,1.15404,0.00151847,0.00151847,0.00151847
11,174.302,0.45646,0.32435,0.96736,0.88709,0.85178,0.88461,0.73798,0.64668,0.47807,1.11771,0.00150197,0.00150197,0.00150197
12,190.021,0.44732,0.35143,0.96737,0.89842,0.84062,0.86612,0.72318,0.66582,0.50286,1.13318,0.00148546,0.00148546,0.00148546
13,205.768,0.44092,0.32627,0.95633,0.90071,0.87153,0.88723,0.74568,0.66292,0.47147,1.13246,0.00146896,0.00146896,0.00146896
14,221.571,0.43948,0.32937,0.95295,0.90174,0.8397,0.87319,0.73195,0.66769,0.49719,1.14926,0.00145246,0.00145246,0.00145246
15,237.374,0.42411,0.3175,0.96157,0.86745,0.87,0.87851,0.74181,0.64569,0.48284,1.12048,0.00143595,0.00143595,0.00143595
16,253.184,0.43157,0.32004,0.96238,0.93049,0.84822,0.88919,0.75017,0.6524,0.45564,1.12689,0.00141945,0.00141945,0.00141945
17,268.885,0.44029,0.32551,0.95572,0.8926,0.84616,0.87494,0.73525,0.65064,0.4866,1.11302,0.00140295,0.00140295,0.00140295
18,284.652,0.42677,0.32534,0.95825,0.89474,0.8651,0.88452,0.74103,0.65293,0.46631,1.12192,0.00138644,0.00138644,0.00138644
19,300.524,0.44327,0.32753,0.9553,0.88304,0.86034,0.88179,0.73497,0.65962,0.50053,1.12707,0.00136994,0.00136994,0.00136994
20,316.276,0.44124,0.33857,0.97559,0.90826,0.86333,0.88861,0.73442,0.68265,0.46241,1.15168,0.00135344,0.00135344,0.00135344
21,331.983,0.45175,0.33598,0.96567,0.91766,0.85486,0.89368,0.74563,0.66061,0.45653,1.13755,0.00133693,0.00133693,0.00133693
22,347.901,0.42524,0.32655,0.95479,0.89677,0.87659,0.89832,0.74567,0.68108,0.45335,1.14933,0.00132043,0.00132043,0.00132043
23,363.835,0.4387,0.33485,0.96648,0.92874,0.84982,0.88953,0.7398,0.64945,0.44481,1.12353,0.00130393,0.00130393,0.00130393
24,379.61,0.42064,0.3121,0.94893,0.91409,0.8708,0.90109,0.74583,0.65412,0.43574,1.12029,0.00128742,0.00128742,0.00128742
25,395.388,0.42919,0.32681,0.95842,0.89027,0.84316,0.87998,0.73983,0.65079,0.47144,1.13779,0.00127092,0.00127092,0.00127092
26,411.187,0.41717,0.30813,0.94774,0.90853,0.85223,0.9001,0.76087,0.64513,0.43981,1.12559,0.00125442,0.00125442,0.00125442
27,427.134,0.43168,0.32857,0.95471,0.87688,0.88312,0.89675,0.75101,0.6606,0.45667,1.1253,0.00123791,0.00123791,0.00123791
28,442.898,0.41986,0.317,0.94843,0.89791,0.86729,0.89142,0.75081,0.6603,0.46541,1.12775,0.00122141,0.00122141,0.00122141
29,458.646,0.42818,0.3231,0.94817,0.92966,0.82506,0.8984,0.75419,0.66202,0.45936,1.11999,0.00120491,0.00120491,0.00120491
30,474.403,0.42086,0.31478,0.93929,0.90192,0.83524,0.88855,0.7491,0.65793,0.46464,1.11988,0.0011884,0.0011884,0.0011884
31,490.255,0.41561,0.31372,0.95356,0.89976,0.86214,0.88358,0.74783,0.65477,0.4598,1.12848,0.0011719,0.0011719,0.0011719
32,506.079,0.40022,0.30626,0.95386,0.89566,0.85062,0.888,0.74329,0.66623,0.45867,1.14384,0.0011554,0.0011554,0.0011554
33,521.954,0.40749,0.30832,0.94841,0.92354,0.82253,0.88471,0.74065,0.64712,0.44877,1.12641,0.00113889,0.00113889,0.00113889
34,537.71,0.42031,0.31894,0.95254,0.87534,0.87997,0.897,0.75381,0.64789,0.44963,1.12227,0.00112239,0.00112239,0.00112239
35,553.568,0.41048,0.3065,0.94078,0.90511,0.85813,0.89768,0.75773,0.64756,0.43186,1.13487,0.00110589,0.00110589,0.00110589
