epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2219,0.72693,0.60596,1.17215,0.83697,0.82068,0.84529,0.65977,0.85345,0.67018,1.29755,0.000553513,0.000553513,0.000553513
2,47.8147,0.78628,0.68739,1.21742,0.86142,0.7909,0.85092,0.67314,0.80334,0.68493,1.25029,0.00108722,0.00108722,0.00108722
3,69.881,0.8232,0.76931,1.24325,0.88317,0.7766,0.82333,0.63896,0.87221,0.72342,1.31956,0.00159892,0.00159892,0.00159892
4,91.5804,0.87295,0.79708,1.30184,0.87094,0.7723,0.83638,0.63836,0.8804,0.76193,1.32333,0.00156798,0.00156798,0.00156798
5,113.563,0.87622,0.83158,1.30167,0.83364,0.756,0.82478,0.62467,0.90139,0.76046,1.34315,0.00153497,0.00153497,0.00153497
6,135.828,0.89137,0.8626,1.29104,0.84748,0.81495,0.83947,0.65239,0.85789,0.73494,1.31702,0.00150197,0.00150197,0.00150197
7,157.595,0.89681,0.86952,1.28229,0.88586,0.77388,0.83431,0.64938,0.84583,0.71478,1.28704,0.00146896,0.00146896,0.00146896
8,181.062,0.87059,0.78615,1.27709,0.87973,0.79653,0.84966,0.65833,0.83799,0.68691,1.27032,0.00143595,0.00143595,0.00143595
9,203.626,0.85346,0.77148,1.26082,0.89343,0.7981,0.85181,0.65723,0.84801,0.67559,1.28779,0.00140295,0.00140295,0.00140295
10,225.768,0.8517,0.76964,1.27787,0.87518,0.7708,0.82712,0.6486,0.86136,0.69898,1.28833,0.00136994,0.00136994,0.00136994
11,247.646,0.85776,0.7578,1.26583,0.8831,0.79977,0.86512,0.68662,0.8059,0.63477,1.26044,0.00133693,0.00133693,0.00133693
12,269.729,0.85258,0.78374,1.27731,0.8743,0.7913,0.85241,0.67814,0.80976,0.6414,1.26016,0.00130393,0.00130393,0.00130393
13,291.477,0.81606,0.72354,1.2442,0.88065,0.81041,0.84354,0.6682,0.80033,0.68929,1.24569,0.00127092,0.00127092,0.00127092
14,315.47,0.86205,0.78215,1.24906,0.88346,0.78307,0.86043,0.68324,0.80808,0.62938,1.24958,0.00123791,0.00123791,0.00123791
15,342.92,0.81335,0.73629,1.24038,0.85903,0.77831,0.8488,0.68116,0.77701,0.68975,1.22181,0.00120491,0.00120491,0.00120491
16,364.882,0.79143,0.73806,1.22969,0.89032,0.79553,0.86975,0.70294,0.75122,0.59097,1.21901,0.0011719,0.0011719,0.0011719
17,386.71,0.79235,0.68835,1.22194,0.87043,0.78927,0.84364,0.6757,0.78392,0.63729,1.22409,0.00113889,0.00113889,0.00113889
18,408.558,0.81065,0.7067,1.25342,0.8912,0.80972,0.86664,0.69979,0.76955,0.60398,1.24089,0.00110589,0.00110589,0.00110589
19,430.185,0.78657,0.70194,1.21168,0.87171,0.84237,0.87202,0.69255,0.76937,0.60345,1.21808,0.00107288,0.00107288,0.00107288
20,451.961,0.77759,0.69769,1.22079,0.8935,0.80052,0.86729,0.69729,0.78808,0.59247,1.22836,0.00103987,0.00103987,0.00103987
21,473.838,0.76481,0.6646,1.19955,0.85358,0.81498,0.86596,0.69307,0.77362,0.6019,1.21779,0.00100687,0.00100687,0.00100687
22,495.536,0.77065,0.65921,1.19784,0.89031,0.80878,0.86003,0.6813,0.78725,0.62422,1.21451,0.000973861,0.000973861,0.000973861
