epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8936,3.4554,4.59414,4.1143,0.02381,0.18102,0.00496,0.00142,3.2261,14.7284,4.11815,0.000553513,0.000553513,0.000553513
2,38.5596,3.06243,3.91558,3.50181,0.08114,0.07172,0.05994,0.02103,2.74157,3.52139,3.23883,0.00074315,0.00074315,0.00074315
3,56.2806,2.79641,3.53392,3.18178,0.4752,0.15787,0.17344,0.06489,2.45799,2.98588,2.96246,0.000566048,0.000566048,0.000566048
